GroupId	Words
1	7,37,49,69,121,152,166,150,120,145,58,100,86,53,104,94,155,68,109,115,153,43
2	16,50,38,8,12,136,55,114,125,95,79,147,72,123,149,156,39,67,77,74,26
3	137,103,98,97,129,108,78,132,87,126,89,88,61,18,148
4	24,28,92,130,139,141,142,128,160,165,34,116
5	3,4,5,52,41,46,44,13,6,133,157,33,62,82,112
6	11,22,27,154,101,164,60,91,85,81,45
7	48,80,140,23,25,122,75,118
8	32,10,1,70,71,76,15,99,111
9	31,134,131,151,30,106,124
10	21,19,20,36,17,56
11	29,40,129,138,144
12	42,9,14,2,63,127
13	167,135,119
14	169,64,161
15	102,162
16	51,113
17	143,107